keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
order linked list	0.000478429819392	0.0000000000	1.58496250072	False
guarantee a semantic	0.000478429819392	0.0000000000	1.58496250072	False
application to word	0.000478429819392	0.0000000000	1.58496250072	False
continue a subtopic explained	0.0	0.0000000000	2.0	False
similarity index is applied	0.0	0.0000000000	2.0	False
definition of document	0.000478429819392	0.0000000000	1.58496250072	False
similarity	0.00137087794109	0.2158273381	0.0	False
literature proposed by mccormak	0.0	0.0000000000	2.0	False
term in document	0.000478429819392	0.0000000000	1.58496250072	False
spanning a wider	0.000478429819392	0.0000000000	1.58496250072	False
dynamic	0.000159476606464	0.0000000000	0.0	False
set3 continuation elaboration application	0.0	0.0000000000	2.0	False
f-score normalized	0.000318953212928	0.0000000000	1.0	False
learning a concept-based document	0.0	0.0000000000	2.0	False
experimentally	0.000318953212928	0.0000000000	0.0	False
continuation for a lecture	0.0	0.0000000000	2.0	False
human language technologies	0.000478429819392	0.0000000000	1.58496250072	False
association for computational	0.000272381311496	0.0000000000	1.58496250072	False
corpora	0.000181587540998	0.0000000000	0.0	False
ponzetto	0.000181587540998	0.0000000000	0.0	False
extensive experimentation	0.000318953212928	0.0000000000	1.0	False
c-value proves	0.000318953212928	0.0000000000	1.0	False
digital library which typically	0.0	0.0000000000	2.0	False
machine learning grammar	0.000478429819392	0.0000000000	1.58496250072	False
analyze the continuation relation	0.0	0.0000000000	2.0	False
based on non-textual features	0.0	0.0000000000	2.0	False
model to find	0.000478429819392	0.0000000000	1.58496250072	False
played by a term	0.0	0.0000000000	2.0	False
search trees intro	0.000478429819392	0.0000000000	1.58496250072	False
statistical term features	0.000478429819392	0.0000000000	1.58496250072	False
increasing	9.07937704988e-05	0.0000000000	0.0	False
related to information	0.000478429819392	0.0000000000	1.58496250072	False
implementation  directly correlates	0.0	0.0000000000	0.0	False
definitions of these relationships	0.0	0.0000000000	2.0	False
giving a detailed	0.000478429819392	0.0000000000	1.58496250072	False
data point belonging table	0.0	0.0000000000	2.0	False
documents means	0.000318953212928	0.0000000000	1.0	False
data point	0.000637906425856	0.0000000000	6.0	False
balanced f-score and nmi	0.0	0.0000000000	2.0	False
taking into consideration	0.000478429819392	0.0000000000	1.58496250072	False
linking research articles related	0.0	0.0000000000	2.0	False
computer architecture	0.000318953212928	0.0000000000	1.0	False
