keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
keywords was done	0.0	0.0000000000	1.58496250072	False
limited	7.63772059418e-05	0.0000000000	0.0	False
shows a sample co-occurrence	0.0	0.0000000000	2.0	False
chile	0.000265580749155	0.0000000000	0.0	False
approach that can give	0.0	0.0000000000	2.0	False
similarity	0.000183688951342	0.5357142857	0.0	False
list of keywords system	0.0	0.0000000000	2.0	False
paradigm	0.000170978977548	0.0000000000	0.0	False
inside every cluster taking	0.0	0.0000000000	2.0	False
con-considering that a document	0.0	0.0000000000	2.0	False
`data structures	0.000531161498309	0.0000000000	1.0	False
identify cluster we develop	0.0	0.0000000000	2.0	False
implies more significant	0.000796742247464	0.0000000000	1.58496250072	False
consists	4.59222378356e-05	0.0000000000	0.0	False
approaches for graph	0.000796742247464	0.0000000000	1.58496250072	False
databases that contain transactions	0.0	0.0000000000	2.0	False
keyfile	0.000265580749155	0.0000000000	0.0	False
distance between adjacent terms	0.0	0.0000000000	2.0	False
unexpected intervening	0.000531161498309	0.0000000000	1.0	False
right is the cluster	0.0	0.0000000000	2.0	False
aub	0.00106232299662	0.0000000000	0.0	False
analyzing and searching	0.000796742247464	0.0000000000	1.58496250072	False
file pointer	0.00106232299662	0.0000000000	5.0	False
algorithm for co-occurrence	0.000796742247464	0.0000000000	1.58496250072	False
size function	0.0	0.0000000000	1.0	False
approaches employed	0.000531161498309	0.0000000000	1.0	False
shortest path	0.00102587386529	0.0000000000	3.0	False
edward	0.000265580749155	0.0000000000	0.0	False
system with physical	0.000796742247464	0.0000000000	1.58496250072	False
cluster shows	0.000531161498309	0.0000000000	1.0	False
apriori and concept lattice	0.0	0.0000000000	2.0	False
approach works	0.000341957955096	0.0000000000	1.0	False
collection of documents	0.00239022674239	0.0000000000	4.75488750216	False
natural language	9.18444756711e-05	0.0000000000	1.0	False
engineering science	0.000531161498309	0.0000000000	1.0	False
updated	0.000229611189178	0.4477611940	0.0	False
lack	2.10387170503e-05	0.0000000000	0.0	False
concept maps	0.000341957955096	0.0000000000	1.0	False
unwanted results	0.000531161498309	0.0000000000	1.0	False
identify the patterns	0.000796742247464	0.0000000000	1.58496250072	False
increasingly interested	0.000531161498309	0.0000000000	1.0	False
internet	8.4154868201e-05	0.5357142857	0.0	False
graph capturing	0.000531161498309	0.0000000000	1.0	False
