keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
limited	0.000210329161088	0.0000000000	0.0	False
simple yet effective statistical	0.0	0.0000000000	2.0	False
main topic	0.000212302144923	0.0000000000	2.0	False
lecture segmentation and information	0.0	0.0000000000	2.0	False
details of the keyphrase	0.0	0.0000000000	2.0	False
similarity	0.000168615503193	0.4210526316	0.0	False
system for different categories	0.0	0.0000000000	2.0	False
results for lectures	0.000470845515596	0.0000000000	1.58496250072	False
thesaurus based automatic	0.000470845515596	0.0000000000	1.58496250072	False
set of lectures	0.000470845515596	0.0000000000	1.58496250072	False
generated lecture	0.000627794020794	0.0000000000	2.0	False
minutes on average	0.000470845515596	0.0000000000	1.58496250072	False
reduced cost becomes important	0.0	0.0000000000	2.0	False
values occur	0.000313897010397	0.0000000000	1.0	False
sliding windows	0.000627794020794	0.0000000000	2.0	False
accuracy a moving average	0.0	0.0000000000	2.0	False
inary	0.000156948505199	0.0000000000	0.0	False
hasan	0.000156948505199	0.0000000000	0.0	False
dispersion is determined	0.000470845515596	0.0000000000	1.58496250072	False
saved	7.01097203627e-05	0.0000000000	0.0	False
category table	0.000313897010397	0.0000000000	1.0	False
extraction system is described	0.0	0.0000000000	2.0	False
added advantages	0.000313897010397	0.0000000000	1.0	False
texttiling algorithm to show	0.0	0.0000000000	2.0	False
student to quickly	0.000470845515596	0.0000000000	1.58496250072	False
calculate	0.000140219440725	0.0000000000	0.0	False
extract keyphrases from transcripts	0.0	0.0000000000	2.0	False
managing variations	0.000313897010397	0.0000000000	1.0	False
millions of viewers	0.000470845515596	0.0000000000	1.58496250072	False
extraction and segmentation steps	0.0	0.0000000000	2.0	False
illustrative and analytical	0.000470845515596	0.0000000000	1.58496250072	False
occur many times	0.000470845515596	0.0000000000	1.58496250072	False
presents	0.000212302144923	0.0000000000	0.0	False
part of speech classification	0.0	0.0000000000	2.0	False
school	1.93122876256e-05	0.0000000000	0.0	False
=30 average precision	0.0	0.0000000000	1.58496250072	False
mwe	0.000156948505199	0.0000000000	0.0	False
document using word co-ocurrence	0.0	0.0000000000	2.0	False
evaluate the segmentation	0.000470845515596	0.0000000000	1.58496250072	False
arxiv computer science	0.000470845515596	0.0000000000	1.58496250072	False
natural language	8.43077515964e-05	0.0000000000	1.0	False
summarizes	0.000156948505199	0.0000000000	0.0	False
