keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
func	0.000217820161655	0.0000000000	0.0	False
applicable e.g	0.00017201042135	0.0000000000	1.0	False
four	0.0	0.4379562044	0.0	False
prefix	0.000217820161655	0.0000000000	0.0	False
non-temporal	0.000694103745745	0.4784342153	0.0	False
negating their values	0.000326730242483	0.0000000000	1.58496250072	False
faces for a region	0.0	0.0000000000	2.0	False
projection of the unit	0.0	0.0000000000	2.0	False
range of values	0.000334359715862	0.0000000000	3.16992500144	False
-axis compute and insert	0.0	0.0000000000	2.0	False
datablade  for spatial	0.0	0.0000000000	0.0	False
mregion and line mregion	0.0	0.0000000000	2.0	False
made precise	0.00017201042135	0.0000000000	1.0	False
set of disjoint faces	0.0	0.0000000000	4.0	False
length of a line	0.0	0.0000000000	2.0	False
index min or max	0.0	0.0000000000	2.0	False
g\f	0.000108910080828	0.0000000000	0.0	False
logical connective	0.000217820161655	0.0000000000	1.0	False
operation on a real	0.0	0.0000000000	2.0	False
describe an algorithm	0.000653460484966	0.0000000000	3.16992500144	False
generation of spatiotemporal	0.000217820161655	0.0000000000	1.58496250072	False
level of abstraction	0.00051603126405	0.0000000000	3.16992500144	False
constructor mapping	0.00017201042135	0.0000000000	1.0	False
inserted in newte	0.000326730242483	0.0000000000	1.58496250072	False
types 3.2.1	0.000217820161655	0.0000000000	1.0	False
list of active	0.00130692096993	0.5084745763	6.33985000288	False
bottom are returned	0.000326730242483	0.0000000000	1.58496250072	False
automatically stores its data	0.0	0.0000000000	2.0	False
handling	4.34062214255e-05	0.0000000000	0.0	False
dbms embedding and queries	0.0	0.0000000000	2.0	False
unit is returned	0.000653460484966	0.0000000000	3.16992500144	False
ensuring consistency	0.000217820161655	0.0000000000	1.0	False
bringing	8.60052106749e-05	0.0000000000	0.0	False
two input region units	0.0	0.0000000000	2.0	False
classified as left	0.000326730242483	0.0000000000	1.58496250072	False
record with some arrays	0.0	0.0000000000	2.0	False
flights are a nice	0.0	0.0000000000	2.0	False
offer a partial implementation	0.0	0.0000000000	2.0	False
support is needed	0.000326730242483	0.0000000000	1.58496250072	False
shows	5.95012740302e-05	0.5128205128	0.0	False
speed velocity mdirection mreal	0.0	0.0000000000	2.0	False
unit > intervals	0.0	0.0000000000	1.58496250072	False
modules for spatial	0.000326730242483	0.0000000000	1.58496250072	False
