keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
main topic	0.000328778180059	0.0000000000	2.0	False
tree has higher	0.000493167270089	0.0000000000	1.58496250072	False
results in better hierarchies	0.0	0.0000000000	2.0	False
variables and computes	0.000493167270089	0.0000000000	1.58496250072	False
stack stack	0.000657556360119	0.0000000000	1.0	False
desirable	0.000493167270089	0.0000000000	0.0	False
taking the weighted average	0.0	0.0000000000	2.0	False
graph is a set	0.0	0.0000000000	2.0	False
connects the right	0.0	0.0000000000	1.58496250072	False
data sets	0.000328778180059	0.0000000000	1.0	False
importance to the probability	0.0	0.0000000000	2.0	False
characterize this relationship	0.000493167270089	0.0000000000	1.58496250072	False
theory and application	0.000493167270089	0.0000000000	1.58496250072	False
sch	0.0	0.0000000000	0.0	False
relationships	0.00246583635044	0.3146853147	0.0	False
concept hierarchy generation	0.000986334540178	0.0000000000	3.16992500144	False
classifying concepts and generating	0.0	0.0000000000	2.0	False
relationship measure	0.000328778180059	0.0000000000	1.0	False
assigned weight	0.000328778180059	0.0000000000	1.0	False
representing knowledge	0.000657556360119	0.0000000000	2.0	False
pointer word distance	0.000493167270089	0.0000000000	1.58496250072	False
tree hashing	0.000986334540178	0.0000000000	3.0	False
nodes of the graph	0.0	0.0000000000	2.0	False
documents representing	0.000657556360119	0.0000000000	2.0	False
shortest path	0.000328778180059	0.0000000000	1.0	False
corpus of documents representing	0.0	0.0000000000	4.0	False
distance metric	0.000328778180059	0.0000000000	3.0	False
lee-feng	0.00016438909003	0.0000000000	0.0	False
parameters cohesion isolation hierarchy	0.0	0.0000000000	6.0	False
trees  parameters cohesion	0.0	0.0000000000	0.0	False
approach works	0.000328778180059	0.0000000000	1.0	False
natural language	0.000328778180059	0.0000000000	1.0	False
applied	0.0	0.4736842105	0.0	False
updated	0.0	0.0000000000	0.0	False
terms separating two concepts	0.0	0.0000000000	2.0	False
vidhyabalasubramanian amritavishwavidyapeetham 20publications100citations seeprofile	0.0	0.0000000000	2.0	False
based on their level	0.0	0.0000000000	6.0	False
edges in hierarchy	0.000493167270089	0.0000000000	1.58496250072	False
betweenness and clustering	0.000493167270089	0.0000000000	1.58496250072	False
rise	0.00016438909003	0.0000000000	0.0	False
connects	0.00016438909003	0.0000000000	0.0	False
relationship between concepts	0.000986334540178	0.0000000000	3.16992500144	False
