keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
field tests and data	0.0	0.0000000000	2.0	False
limited	9.17829163201e-05	0.0000000000	0.0	False
path loss parameter estimation	0.0	0.0000000000	4.0	False
neural network results	0.0016671837481	0.0000000000	1.58496250072	False
set of results	0.00146939589049	0.0000000000	1.58496250072	False
1,2	0.00162695021251	0.4273504274	0.0	False
aps with a set	0.0	0.0000000000	2.0	False
set of fixed parameter	0.0	0.0000000000	2.0	False
four	0.0	0.5681818182	0.0	False
first set	0.000979597260327	0.0000000000	1.0	False
rate and the mse	0.0	0.0000000000	2.0	False
fluctuates wildly in part	0.0	0.0000000000	2.0	False
sci	0.000622324971329	0.0000000000	0.0	False
ghz frequency	0.000886042114814	0.0000000000	1.0	False
i_k_j j_i_k	0.00111145583207	0.0000000000	1.0	False
bq-936 intelligent	0.0	0.0000000000	1.0	False
terrestrial land surveying techniques	0.0	0.0000000000	2.0	False
desirable proportion	0.00111145583207	0.0000000000	1.0	False
variation of the input	0.0	0.0000000000	2.0	False
include point matching	0.0016671837481	0.0000000000	1.58496250072	False
positioning ; neural	0.0	0.0000000000	1.58496250072	False
movement this procedure helps	0.0	0.0000000000	2.0	False
summarizes	0.000330314198779	0.0000000000	0.0	False
applied	0.000145467387982	0.0000000000	0.0	False
two input order	0.0	0.0000000000	1.58496250072	False
adjust search	0.00111145583207	0.0000000000	1.0	False
based on neural network	0.0	0.0000000000	2.0	False
desirable	0.000181323835873	0.0000000000	0.0	False
activation	0.000886042114814	0.0000000000	0.0	False
preliminary efforts	0.00111145583207	0.0000000000	1.0	False
trapped in a local	0.0	0.0000000000	2.0	False
noted that the signal	0.0	0.0000000000	2.0	False
formula	0.000331652491322	0.0000000000	0.0	False
declare no conflict	0.0016671837481	0.0000000000	1.58496250072	False
affect	0.000153914700633	0.0000000000	0.0	False
step length a contraction	0.0	0.0000000000	2.0	False
method contains three basic	0.0	0.0000000000	2.0	False
mdpi	0.000555727916035	0.0000000000	0.0	False
optimization problems	0.00111145583207	0.0000000000	1.0	False
solution	0.000227430080312	0.5434782609	0.0	False
real-time positional	0.00111145583207	0.0000000000	1.0	False
vector	0.000257246305228	0.0000000000	0.0	False
hornik	0.000555727916035	0.0000000000	0.0	False
chosen set	0.000979597260327	0.0000000000	1.0	False
