keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
order to test	0.000978539268426	0.0000000000	1.58496250072	False
limited	6.75763121475e-05	0.0000000000	0.0	False
ferret incorporates a video	0.0	0.0000000000	2.0	False
locationing capabilities	0.00144248130037	0.0000000000	2.0	False
dimensional space	0.000486395863161	0.0000000000	1.0	False
identify thousands of objects	0.0	0.0000000000	2.0	False
hundredths	0.000360620325093	0.0000000000	0.0	False
ferret adds locationing capabilities	0.0	0.0000000000	2.0	False
narrower beam will produce	0.0	0.0000000000	2.0	False
nomadic distances exceed 20cm	0.0	0.0000000000	2.0	False
four	0.0	0.0000000000	0.0	False
locate in the room	0.0	0.0000000000	2.0	False
threshold ferret	0.00144248130037	0.0000000000	1.0	False
consists	4.18620553669e-05	0.0000000000	0.0	False
region on a shelf	0.0	0.0000000000	2.0	False
centimeter	0.000259183971641	0.0000000000	0.0	False
reader for a small	0.0	0.0000000000	2.0	False
optical	0.00016794249528	0.0000000000	0.0	False
probabilities of the objects	0.0	0.0000000000	2.0	False
arc	0.000326179756142	0.0000000000	0.0	False
greatly aids	0.000721240650187	0.0000000000	1.0	False
calculate	9.75741647515e-05	0.0000000000	0.0	False
walked randomly	0.0	0.0000000000	1.0	False
allowing offline	0.000818323161406	0.0000000000	1.0	False
segments	0.000687291734767	0.0000000000	0.0	False
first transforms the coverage	0.0	0.0000000000	2.0	False
describing just the convex	0.0	0.0000000000	2.0	False
contained	0.000917749685227	0.4647887324	0.0	False
presents	0.000186440645037	0.0000000000	0.0	False
cmos-based camera	0.000721240650187	0.0000000000	1.0	False
imagine attaching	0.000818323161406	0.0000000000	1.0	False
two alternative algorithms	0.0	0.0000000000	3.16992500144	False
users inherent	0.0	0.0000000000	2.0	False
large amount of computational	0.0	0.0000000000	2.0	False
measure ferrets performance	0.0	0.0000000000	1.58496250072	False
technique greatly reduces complexity	0.0	0.0000000000	2.0	False
pervasive nature of multimedia	0.0	0.0000000000	6.0	False
incurs	0.000598931150901	0.0000000000	0.0	False
dollar	0.000360620325093	0.0000000000	0.0	False
pages	0.000480648321058	0.0000000000	0.0	False
projection the basic algorithm	0.0	0.0000000000	2.0	False
resulting intersection	0.000721240650187	0.0000000000	1.0	False
enable new opportunities	0.00122748474211	0.0000000000	1.58496250072	False
cover very similar regions	0.0	0.0000000000	2.0	False
