keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
aided	9.8886620483e-05	0.0000000000	0.0	False
users to simultaneously	0.000487532479148	0.0000000000	1.58496250072	False
complicated in terms	0.000487532479148	0.0000000000	1.58496250072	False
pdr displacement	0.000238161098633	0.0000000000	1.0	False
eliminates particles with small	0.0	0.0000000000	2.0	False
four	0.0	0.0000000000	0.0	False
woods	0.000162510826383	0.0000000000	0.0	False
fusing pdr and wireless	0.0	0.0000000000	2.0	False
sequences of rss measurements	0.0	0.0000000000	2.0	False
newly generated particles	0.000975064958295	0.0000000000	3.16992500144	False
provided real time position	0.0	0.0000000000	2.0	False
electric current and metals	0.0	0.0000000000	2.0	False
accuracy improvement is proposed	0.0	0.0000000000	2.0	False
operation with the sample	0.0	0.0000000000	2.0	False
authors declare	0.000215415836737	0.0000000000	1.0	False
options for error minimization	0.0	0.0000000000	2.0	False
hos algorithm	0.0	0.0000000000	1.0	False
magnetic distribution	0.000325021652765	0.0000000000	1.0	False
map construction from crowd-sourced	0.0	0.0000000000	2.0	False
susceptible to walking	0.000487532479148	0.0000000000	1.58496250072	False
sampling rate	0.000270218744751	0.0000000000	1.0	False
filter algorithm for pedestrian	0.0	0.0000000000	2.0	False
significant role	0.000325021652765	0.0000000000	1.0	False
topics in signal	0.000487532479148	0.0000000000	1.58496250072	False
based on sensor	0.000487532479148	0.0000000000	1.58496250072	False
point lies	0.000238161098633	0.0000000000	1.0	False
extending to indoor environments	0.0	0.0000000000	2.0	False
enhance indoor localization results	0.0	0.0000000000	2.0	False
wireless ad hoc networks	0.0	0.0000000000	2.0	False
spatial connectivity	0.000325021652765	0.0000000000	1.0	False
users can not move	0.0	0.0000000000	2.0	False
ekf for the localization	0.0	0.0000000000	2.0	False
collecting fingerprints is laborintensive	0.0	0.0000000000	2.0	False
change of the state	0.0	0.0000000000	2.0	False
xt1	0.0	0.0000000000	0.0	False
school of computer science	0.0	0.0000000000	2.0	False
states x1 xk xt1	0.0	0.0000000000	2.0	False
maximum likelihood criteria	0.0	0.0000000000	1.58496250072	False
obtained from a navigation	0.0	0.0000000000	2.0	False
walking heading	0.000325021652765	0.0000000000	1.0	False
sample value to estimate	0.0	0.0000000000	2.0	False
liao	0.000405328117127	0.0000000000	0.0	False
shows	6.18420926146e-05	0.5159574468	0.0	False
