keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
parameters affecting the efficiency	0.0	0.0000000000	2.0	False
methods the k-nn	0.00244549307803	0.0000000000	1.58496250072	False
entropy	0.000919736028136	0.0000000000	0.0	False
consists	0.000208015317359	0.0000000000	0.0	False
centimeter	0.000429300756518	0.0000000000	0.0	False
running the ubi-nanoloc indoor	0.0	0.0000000000	2.0	False
wlan based trilateration	0.00489098615607	0.0000000000	3.16992500144	False
signal sent by api	0.0	0.0000000000	2.0	False
accuracy improvement	0.00108053916441	0.0000000000	1.0	False
supported	0.000110157803427	0.0000000000	0.0	False
illustrate trilateration by subtracting	0.0	0.0000000000	2.0	False
scanned it at 18:00	0.0	0.0000000000	2.0	False
trilateration-based	0.000815164359344	0.0000000000	0.0	False
scanned wlan card	0.00244549307803	0.0000000000	1.58496250072	False
file	0.0011383993378	0.0000000000	0.0	False
samples of class	0.00244549307803	0.0000000000	1.58496250072	False
implementing lbs	0.00163032871869	0.0000000000	1.0	False
maximized	0.000677716970774	0.0000000000	0.0	False
include petri net	0.00244549307803	0.0000000000	1.58496250072	False
jan feb address 17:00	0.0	0.0000000000	0.0	False
first annual international	0.00244549307803	0.0000000000	1.58496250072	False
summarized	0.000530749610126	0.0000000000	0.0	False
methods jaegeol yim	0.00244549307803	0.0000000000	1.58496250072	False
special	0.000617623917508	0.3571428571	0.0	False
require special equipments dedicated	0.0	0.0000000000	4.0	False
look-up	0.00338858485387	0.2409638554	0.0	False
z12	0.00326065743738	0.0000000000	0.0	False
wall between these rooms	0.0	0.0000000000	2.0	False
estimate user location	0.00244549307803	0.0000000000	1.58496250072	False
vector	0.000418286675167	0.5555555556	0.0	False
event flow diagram	0.00244549307803	0.0000000000	1.58496250072	False
indices	0.00119463080528	0.0000000000	0.0	False
petri net	0.00163032871869	0.0000000000	1.0	False
inside buildings	0.00143429607074	0.0000000000	2.0	False
papers about these topics	0.0	0.0000000000	2.0	False
site to get ready	0.0	0.0000000000	4.0	False
invokes two functions	0.00244549307803	0.0000000000	1.58496250072	False
evaluating	0.000726057172086	0.0000000000	0.0	False
10m	0.000379466445932	0.0000000000	0.0	False
indoor positioning with kalman	0.0	0.0000000000	4.0	False
discusses wlan-based indoor positioning	0.0	0.0000000000	2.0	False
estimates	0.00044349813409	0.3921568627	0.0	False
