keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
rfid tag tag field	0.0	0.0000000000	2.0	False
previously stored	0.00156873644884	0.0000000000	1.0	False
u-kb approach	0.00313747289767	0.0000000000	2.0	False
limited	5.38508810693e-05	0.0000000000	0.0	False
determine if the meaning	0.0	0.0000000000	2.0	False
structure and functionality	0.00235310467325	0.0000000000	1.58496250072	False
desirable	0.00021277267518	0.0000000000	0.0	False
fields is summarized	0.00235310467325	0.0000000000	1.58496250072	False
entries matching parameters	0.00235310467325	0.0000000000	1.58496250072	False
max adv diameter	0.00235310467325	0.0000000000	3.16992500144	False
knowledge-based systems	0.00156873644884	0.0000000000	1.0	False
trigger spurious leave-enter	0.00235310467325	0.0000000000	1.58496250072	False
ouuid ; semantic annotation	0.0	0.0000000000	2.0	False
requested resource	0.00156873644884	0.0000000000	1.0	False
framework presents a two	0.0	0.0000000000	2.0	False
area can access information	0.0	0.0000000000	2.0	False
end user	0.00130422693517	0.0000000000	1.0	False
overview of ad hoc	0.0	0.0000000000	2.0	False
contained	0.000487563640571	0.0000000000	0.0	False
presents	0.000297145336385	0.0000000000	0.0	False
distributed and decentralized knowledge	0.0	0.0000000000	2.0	False
case of description	0.00235310467325	0.0000000000	1.58496250072	False
u-kb components	0.00156873644884	0.0000000000	1.0	False
structure of an advertisement	0.0	0.0000000000	2.0	False
kawakita	0.000784368224418	0.0000000000	0.0	False
extensive simulation	0.00156873644884	0.0000000000	1.0	False
rfid epcglobal rfid tag	0.0	0.0000000000	2.0	False
updated	0.000488138137465	0.0000000000	0.0	False
sending a solicit	0.00235310467325	0.0000000000	1.58496250072	False
memory initial address	0.00235310467325	0.0000000000	1.58496250072	False
accurate descriptions of raw	0.0	0.0000000000	2.0	False
manet	0.00156873644884	0.0000000000	0.0	False
content pdu in unicast	0.0	0.0000000000	2.0	False
specifies the ontology identifier	0.0	0.0000000000	2.0	False
procedures that determine	0.00235310467325	0.0000000000	1.58496250072	False
journal of internet	0.00195634040276	0.0000000000	1.58496250072	False
krss group	0.00156873644884	0.0000000000	1.0	False
mechanism for ontology	0.00235310467325	0.0000000000	1.58496250072	False
steady state	0.00114949878859	0.0000000000	1.0	False
air	0.000345027432013	0.0000000000	0.0	False
engine was a single	0.0	0.0000000000	2.0	False
vast	0.000477282188845	0.0000000000	0.0	False
