keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
receive the beacons	0.00209240271336	0.0000000000	1.58496250072	False
advantage of this wifi	0.0	0.0000000000	2.0	False
illustration of indoorpositioning	0.00209240271336	0.0000000000	1.58496250072	False
access points	0.000963252775719	0.5476190476	5.0	False
attenuation by user	0.00209240271336	0.0000000000	1.58496250072	False
higher accuracy	0.000689322131827	0.0000000000	1.0	False
pauli misikangas and petri	0.0	0.0000000000	2.0	False
position with aoa	0.00209240271336	0.0000000000	1.58496250072	False
circles and two	0.0	0.0000000000	1.58496250072	False
signal value bit	0.00209240271336	0.0000000000	1.58496250072	False
short-range	0.000262287836225	0.0000000000	0.0	False
patents for positioning	0.00209240271336	0.0000000000	1.58496250072	False
calculate	0.000691412451789	0.5609756098	0.0	False
created	0.000189199455483	0.0000000000	0.0	False
mistakes	0.000579865402717	0.0000000000	0.0	False
rene dnkler	0.00139493514224	0.0000000000	1.0	False
approach works	0.00204429017679	0.0000000000	2.0	False
comparision of methods	0.00209240271336	0.0000000000	1.58496250072	False
channels in mobile digital	0.0	0.0000000000	2.0	False
positioning that delivers	0.00209240271336	0.0000000000	1.58496250072	False
topologies the method	0.00209240271336	0.0000000000	1.58496250072	False
physical layer	0.000581261822659	0.0000000000	1.0	False
redirected to a central	0.0	0.0000000000	2.0	False
location based services usa	0.0	0.0000000000	2.0	False
christopher j hegarty	0.00209240271336	0.0000000000	1.58496250072	False
collection of wifi data	0.0	0.0000000000	2.0	False
wifi technology	0.00369810587452	0.5476190476	5.0	False
performance in indoor	0.00209240271336	0.0000000000	1.58496250072	False
gsm location	0.00278987028447	0.0000000000	1.0	False
encounter	0.000424403792287	0.0000000000	0.0	False
topologies with this method	0.0	0.0000000000	2.0	False
ontrilateration with measurements	0.00627720814007	0.0000000000	4.75488750216	False
fourth chapter deals	0.00209240271336	0.0000000000	1.58496250072	False
companies	0.000749143129229	0.0000000000	0.0	False
solution	5.93270696437e-05	0.0000000000	0.0	False
positioning better for outdoor	0.0	0.0000000000	2.0	False
applicable without modification	0.00209240271336	0.0000000000	1.58496250072	False
vector	0.000178946360949	0.0000000000	0.0	False
markov	0.00153400811943	0.2956298201	0.0	False
station software	0.00139493514224	0.0000000000	1.0	False
send a help signal	0.0	0.0000000000	2.0	False
inside buildings	0.00061360324777	0.0000000000	1.0	False
