keyphrase	tfidf	cuewords	localspan	cscore	dispersion	keyword
d	c	c	c	c	c	d
m						class
right so the idea	0.0	0.0	0.0	4.0	0.0000000000	False
window thats the extend	0.0	0.0	0.0	2.0	0.0000000000	False
sort of a answer	0.0	0.0	0.0	2.0	0.0000000000	False
answer to a question	0.0	0.0	0.0	2.0	0.0000000000	False
right we for instance	0.0	0.0	0.0	2.0	0.0000000000	False
clipping right the point	0.0	0.0	0.0	2.0	0.0000000000	False
primitive so we wanted	0.0	0.0	0.0	2.0	0.0000000000	False
coordinates of the points	0.0	0.0	0.0	2.0	0.0000000000	False
points and the extend	0.0	0.0	0.0	2.0	0.0000000000	False
extend of the window	0.0	0.0	0.0	2.0	0.0000000000	False
point which is inside	0.0	0.0	0.0	2.0	0.0000000000	False
looked at the possibilities	0.0	0.0	0.0	2.0	0.0000000000	False
point to a line	0.0	0.0	0.0	2.0	0.0000000000	False
applying at the end	0.0	0.0	0.0	2.0	0.0000000000	False
points of the line	0.0	0.0	3.99632690542	8.0	0.5500000000	False
determine whether a line	0.0	0.0	0.0	2.0	0.0000000000	False
right where the idea	0.0	0.0	0.0	2.0	0.0000000000	False
right which is shown	0.0	0.0	0.0	2.0	0.0000000000	False
basically give a bit	0.0	0.0	0.0	2.0	0.0000000000	False
give a bit code	0.0	0.0	0.0	2.0	0.0000000000	False
code to this window	0.0	0.0	0.0	2.0	0.0000000000	False
window and the neighboring	0.0	0.0	0.0	2.0	0.0000000000	False
regions it this window	0.0	0.0	0.0	2.0	0.0000000000	False
boundary of the window	0.0	0.0	0.0	2.0	0.0000000000	False
window i can decide	0.0	0.0	0.0	2.0	0.0000000000	False
decide whether the line	0.0	0.0	0.0	4.0	0.0000000000	False
side of the window	0.0	0.0	3.99724517906	6.0	0.0000000000	False
right so in case	0.0	0.0	0.0	2.0	0.0000000000	False
side whether the window	0.0	0.0	0.0	2.0	0.0000000000	False
exist i would declare	0.0	0.0	0.0	2.0	0.0000000000	False
right i can decide	0.0	0.0	0.0	2.0	0.0000000000	False
trivially reject the line	0.0	0.0	0.0	2.0	0.0000000000	False
window then the bit	0.0	0.0	0.0	2.0	0.0000000000	False
operation which we figure	0.0	0.0	0.0	2.0	0.0000000000	False
obtain non zero bit	0.0	0.0	0.0	2.0	0.0000000000	False
rejected by this window	0.0	0.0	0.0	2.0	0.0000000000	False
cases for trivially acceptance	0.0	0.0	0.0	2.0	0.0000000000	False
trivially acceptance and rejection	0.0	0.0	0.0	2.0	0.0000000000	False
right so this line	0.0	0.0	0.0	2.0	0.0000000000	False
line is trivially accepted	0.0	0.0	0.0	2.0	0.0000000000	False
edge of the window	0.0	0.0	3.99632690542	8.0	0.4313725490	False
end points i found	0.0	0.0	0.0	2.0	0.0000000000	False
trivial rejection criteria doesnt	0.0	0.0	0.0	2.0	0.0000000000	False
criteria doesnt get satisfied	0.0	0.0	0.0	2.0	0.0000000000	False
point on this side	0.0	0.0	0.0	2.0	0.0000000000	False
side the one end	0.0	0.0	0.0	2.0	0.0000000000	False
find out the intersection	0.0	0.0	0.0	4.0	0.0000000000	False
out the intersection point	0.0	0.0	0.0	2.0	0.0000000000	False
segments of the line	0.0	0.0	3.99724517906	6.0	0.0000000000	False
line which is inside	0.0	0.0	0.0	2.0	0.0000000000	False
point and again check	0.0	0.0	0.0	2.0	0.0000000000	False
visible from this window	0.0	0.0	0.0	2.0	0.0000000000	False
right the two end	0.0	0.0	0.0	2.0	0.0000000000	False
satisfying the trivial rejection	0.0	0.0	0.0	2.0	0.0000000000	False
work on the figure	0.0	0.0	0.0	2.0	0.0000000000	False
figure out the segments	0.0	0.0	0.0	2.0	0.0000000000	False
line and therefore check	0.0	0.0	0.0	2.0	0.0000000000	False
segments for trivial rejection	0.0	0.0	0.0	2.0	0.0000000000	False
trivial rejection and acceptance	0.0	0.0	0.0	2.0	0.0000000000	False
cohen and sutherland algorithm	0.0	0.0	0.0	4.0	0.0000000000	False
properties of the cohen	0.0	0.0	0.0	2.0	0.0000000000	False
algorithm right just checking	0.0	0.0	0.0	2.0	0.0000000000	False
checking for the end	0.0	0.0	0.0	2.0	0.0000000000	False
choice for a window	0.0	0.0	0.0	2.0	0.0000000000	False
right so this limitation	0.0	0.0	0.0	2.0	0.0000000000	False
limitation of rectangular region	0.0	0.0	0.0	2.0	0.0000000000	False
popular right it doesnt	0.0	0.0	0.0	2.0	0.0000000000	False
