keyphrase	tfidf	cuewords	localspan	cscore	dispersion	keyword
d	c	c	c	c	c	d
m						class
basically talking about clipping	0.0	0.0	0.0	2.0	0.0000000000	False
right so we covered	0.0	0.0	0.0	2.0	0.0000000000	False
covered polygon point clipping	0.0	0.0	0.0	2.0	0.0000000000	False
talked about line clipping	0.0	0.0	0.0	2.0	0.0000000000	False
clipping right so today	0.0	0.0	0.0	2.0	0.0000000000	False
talk about polygon clipping	0.0	0.0	0.0	2.0	0.0000000000	False
give you the kinds	0.0	0.0	0.0	2.0	0.0000000000	False
basically a planner set	0.0	0.0	0.0	2.0	0.0000000000	False
set of a ordered	0.0	0.0	0.0	2.0	0.0000000000	False
grasp for the polygon	0.0	0.0	0.0	2.0	0.0000000000	False
right so the restriction	0.0	0.0	0.0	2.0	0.0000000000	False
restriction we are passing	0.0	0.0	0.0	2.0	0.0000000000	False
right just the weight	0.0	0.0	0.0	2.0	0.0000000000	False
crossing of the line	0.0	0.0	0.0	2.0	0.0000000000	False
polygon and the reason	0.0	0.0	0.0	2.0	0.0000000000	False
interested in a polygon	0.0	0.0	0.0	2.0	0.0000000000	False
define primitives filling area	0.0	0.0	0.0	2.0	0.0000000000	False
right and one thing	0.0	0.0	0.0	2.0	0.0000000000	False
clipping for the line	0.0	0.0	0.0	2.0	0.0000000000	False
right to the polygon	0.0	0.0	0.0	2.0	0.0000000000	False
polygon to be defined	0.0	0.0	0.0	2.0	0.0000000000	False
line of the polygon	0.0	0.0	0.0	2.0	0.0000000000	False
line clipping right lets	0.0	0.0	0.0	2.0	0.0000000000	False
convex and non convex	0.0	0.0	0.0	2.0	0.0000000000	False
region right the line	0.0	0.0	0.0	2.0	0.0000000000	False
non convex or concave	0.0	0.0	0.0	2.0	0.0000000000	False
polygon right the line	0.0	0.0	0.0	2.0	0.0000000000	False
right the line joining	0.0	0.0	0.0	2.0	0.0000000000	False
joining these two points	0.0	0.0	0.0	2.0	0.0000000000	False
right this is non	0.0	0.0	0.0	2.0	0.0000000000	False
convex so now lets	0.0	0.0	0.0	2.0	0.0000000000	False
interested in to clip	0.0	0.0	0.0	2.0	0.0000000000	False
right and the window	0.0	0.0	0.0	2.0	0.0000000000	False
concerned we are taking	0.0	0.0	0.0	2.0	0.0000000000	False
taking a simple polygon	0.0	0.0	0.0	2.0	0.0000000000	False
polygon convex or non	0.0	0.0	0.0	4.0	0.0000000000	False
convex or non convex	0.0	0.0	0.997530864198	6.0	0.0000000000	False
restriction to the window	0.0	0.0	0.0	2.0	0.0000000000	False
work on a window	0.0	0.0	0.0	2.0	0.0000000000	False
window which is convex	0.0	0.0	0.0	2.0	0.0000000000	False
restriction and the window	0.0	0.0	0.0	2.0	0.0000000000	False
window must be convex	0.0	0.0	0.0	2.0	0.0000000000	False
convex but the polygon	0.0	0.0	0.0	2.0	0.0000000000	False
polygon could be convex	0.0	0.0	0.0	2.0	0.0000000000	False
right which is convex	0.0	0.0	0.0	2.0	0.0000000000	False
polygon which is non	0.0	0.0	0.0	2.0	0.0000000000	False
triangle its a convex	0.0	0.0	0.0	2.0	0.0000000000	False
portion of the polygon	0.0	0.0	0.0	4.0	0.0000000000	False
polygon and this portion	0.0	0.0	0.0	2.0	0.0000000000	False
polygon inside the window	0.0	0.0	0.0	2.0	0.0000000000	False
right similarly iam interested	0.0	0.0	0.0	2.0	0.0000000000	False
part of the polygon	0.0	0.0	5.9975308642	6.0	0.0000000000	False
polygon to be declared	0.0	0.0	0.0	2.0	0.0000000000	False
declared inside the window	0.0	0.0	0.0	2.0	0.0000000000	False
chop of the rest	0.0	0.0	0.0	2.0	0.0000000000	False
basically what is shown	0.0	0.0	0.0	2.0	0.0000000000	False
result for this polygon	0.0	0.0	0.0	2.0	0.0000000000	False
triangle to be clipped	0.0	0.0	0.0	2.0	0.0000000000	False
result is this right	0.0	0.0	0.0	2.0	0.0000000000	False
case of line clipping	0.0	0.0	0.0	4.0	0.0000000000	False
clipping can you suggest	0.0	0.0	0.0	2.0	0.0000000000	False
right what is happening	0.0	0.0	0.0	2.0	0.0000000000	False
suggestion towards an algorithm	0.0	0.0	0.0	2.0	0.0000000000	False
thing that for instance	0.0	0.0	0.0	2.0	0.0000000000	False
instance sires back algorithm	0.0	0.0	0.0	2.0	0.0000000000	False
back algorithm or lanbask	0.0	0.0	0.0	2.0	0.0000000000	False
