keyphrase	dispersion	Frequency Occurance Ratio	cuewords	Contiguous Occurance Ratio	tfidf	Phrase Size	localspan	cscore	keyword
d	c	c	c	c	c	c	c	c	d
m									class
prof s dasgupta department	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
dasgupta department of chemistry	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
department of chemistry lecture	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
conducted by myself doctor	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
dasgupta of the department	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
department of chemistry iit	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
aspects of biochemistry starting	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
biochemistry starting from structures	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
functions of bio molecules	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
right on to bioenergetics	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
functions of biological molecules	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acids and proteins	0.0000000000	0.113636363636	0.0	0.158313279197	0.0	2	0.0	2.0	False
acids and proteins enzymes	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
proteins enzymes under enzymes	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
mechanisms of specific enzymes	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
vitamins and coenzymes carbohydrates	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
coenzymes carbohydrates and lipids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acids and their components	0.0000000000	0.0454545454545	0.0	0.0454545454545	0.0	1	0.0	2.0	False
covered in their directory	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
bioenergetics with special reference	0.0000000000	0.0454545454545	0.0	0.0454545454545	0.0	1	0.0	2.0	False
special reference to carbohydrate	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
reference to carbohydrate metabolism	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
carbohydrate metabolism the books	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
covering are common biochemistry	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
books such as stryer	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
lehninger voet and voet	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
internet sites and websites	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
give us a lot	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
specific tutorials and quiz	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
tutorials and quiz materials	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
central dogma of biology	0.0000000000	0.113636363636	0.0	0.263855465328	0.0	2	0.0	4.0	False
biology the first thing	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
mind is dna dna	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
dna is the storage	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
medium the central dogma	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
text that is comprised	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
